id	base	meaning	level	business	elevated	register	usage	context	example	translation	answers	question	explanation	tag
idea_vision	idea	考え・構想	中学	idea / vision（将来像）	-	長期的な将来像	visionは目指す未来の姿。単語だけで格調が上がるのではない。具体的な一回の提案はideaやproposal。	組織が目指す将来像を説明する。	Our ___ is a world where everyone can access education.	私たちが目指すのは、誰もが教育にアクセスできる世界です。	vision	目先の改善案をすべてvisionと呼んでよいか。	適切とは限らない。visionは長期的に実現したい姿を指す。具体的な改善案にはideaやproposalが自然である。	社外メール
talk	talk	話す	中学	talk / speak / discuss（話し合う）	converse	会話を交わす・文語的	converseは互いに会話をするというやや文語的な語。discussは目的語を直接取る。discuss about the planとはしない。	旅行記で、数時間語り合ったことを記す。	They ___ for several hours.	彼らは数時間にわたって語り合いました。	conversed	Let us discuss about the schedule. は自然か。	discussの直後にaboutを置かず、Let us discuss the schedule. とする。talk about the scheduleならaboutが必要。	表現・読解
hate	hate	ひどく嫌う	中学	dislike（嫌う）	abhor（強い嫌悪・文語）	嫌悪と軽蔑の区別	despiseは軽蔑するという意味で、単にhateを正式にした語ではない。dislikeは一般にhateより弱い。業務上の反対なら理由を具体的に述べる。	人の不誠実な振る舞いを軽蔑していると描写する。	She ___ dishonest behavior.	彼女は不誠実な行為を軽蔑しています。	despises	I hate him. とI despise him. の違いは何か。	hateは非常に嫌うこと。despiseは軽蔑・見下しを含む。どちらも取引相手に丁寧に反対するための表現ではない。	表現・読解
think	think	考える	中学	think / consider	contemplate	検討・熟考	thinkは考えること全般。considerは選択肢を検討する。contemplateは熟考、または実行を考えているという硬めの語。社外メールではconsiderが使いやすい。	複数の選択肢を業務として検討する。	We are ___ several options.	複数の選択肢を検討しています。	considering	I think it will work. のthinkをそのままcontemplateに置き換えられるか。	できない。このthinkは～だと考えるという判断。contemplateは対象について熟考したり実行を検討したりする語である。	社外メール
walk	walk	歩く	中学	walk	-	動作の様子を限定	strollはゆっくり気楽に散歩すること。walkより正式な語という関係ではない。歩行全般にはwalkを使う。	公園をゆっくり散歩したことを描写する。	We ___ through the park after lunch.	昼食後、私たちは公園をゆっくり散歩しました。	strolled	急いで駅まで歩いた場面でstrolledを使うとどうなるか。	strolledはのんびり散歩する意味なので、急いで移動したという意図と合わない。	表現・読解
rich	rich	裕福な・豊かな	中学	wealthy / affluent	affluent	経済的に裕福・やや正式	affluentは主に人や地域などの経済的な豊かさを表す。豊富な経験や濃厚な味を表すrichには置き換えられない。	市場調査で、比較的裕福な地域を説明する。	The survey focused on ___ neighborhoods.	その調査は裕福な地域に焦点を当てました。	affluent|wealthy	豊富な経験をaffluent experienceと書けるか。	通常は書けない。rich experienceやextensive experienceなどを使う。affluentは経済的な豊かさを指す。	表現・読解
big	big	大きい	中学	large / significant（重要・相当）	-	規模と誇張の区別	largeは規模を説明する普通の語。colossalは巨大さを強く表し、必ず誇張とは限らないが、単に格調を上げる語ではない。	データ量が多いことを技術文書で説明する。	The system processes a ___ amount of data.	そのシステムは大量のデータを処理します。	large	bigをcolossalに替えると、文体だけが変わるか。	大きさの程度も強くなる。客観的な報告ではlargeや具体的な数値が適切な場合が多い。	技術説明
tasty	tasty	おいしい	中学	delicious	delectable	食べ物への強い賛辞・文学的	delectableはとてもおいしいという文語的・広告的な表現。取引先との食事へのお礼ではdeliciousで自然である。	食事をごちそうになったお礼を述べる。	Thank you for the ___ meal.	おいしいお食事をありがとうございました。	delicious	delectableは社外メールの食事のお礼に必須か。	必須ではない。deliciousが自然で十分丁寧。delectableは料理の紹介文などで豊かな語調を出す場合に使う。	社外メール
clean	clean	きれいな	中学	clean	-	清潔さの程度を強める	spotlessは染みや汚れがないという強い表現。単なる丁寧語ではない。cleanにはデータを整えるなど別の用法もある。	掃除後、一点の汚れもない部屋を描写する。	The room was ___.	その部屋は一点の汚れもありませんでした。	spotless	clean dataのcleanをspotlessに置き換えてよいか。	通常はしない。データの整形や不備の除去という意味であり、物理的な汚れのなさを表すspotlessとは用法が違う。	表現・読解
win	win	勝つ・獲得する	中学	win / secure（獲得する）	triumph	勝利・達成を強調	triumphは大きな勝利・成功を強調する語。動詞ではtriumph overを使うことがある。winの目的語をそのまま引き継げるとは限らない。	逆境を乗り越えて勝利したことを記す。	The team ___ over adversity.	そのチームは逆境を乗り越えました。	triumphed	They won the match. をThey triumphed the match. とできるか。	通常はできない。triumphはこの意味では自動詞。They triumphed over their opponents. などとする。	表現・読解
beautiful	beautiful	美しい	中学	beautiful / elegant（洗練された）	exquisite	精巧な美しさ・強い賛辞	exquisiteは細部まで非常に美しく精巧なものに適する。単に外観が美しいもの全般を同じように置換できるわけではない。	工芸品の繊細な作りを強く称賛する。	The craftsmanship is ___.	その職人技は実に精緻で美しいものです。	exquisite	beautifulとexquisiteの違いは何か。	beautifulは美しさを広く表す。exquisiteは精巧さや非常に洗練された美しさを強調する。	表現・読解
famous	famous	有名な	中学	well-known	distinguished（高く評価された）	知名度と功績の区別	distinguishedは業績などで高く評価されていること。単に知られているだけのfamousとは異なる。綴りはdistinguished。	優れた業績のある研究者を紹介する。	She is a ___ researcher.	彼女は優れた業績で知られる研究者です。	distinguished	famousとdistinguishedは、どちらも単に有名という意味か。	違う。famousは知名度、distinguishedは優れた業績や評価を含む。悪名高い人物もfamousにはなり得る。	表現・読解
ask	ask	尋ねる・頼む	中学	ask / request / inquire	inquire	質問と依頼を区別	requestは何かを依頼する、inquireは情報を尋ねる。askも十分に丁寧。ask a questionとrequest a fileは意味が違う。	製品の提供時期について、やや正式に問い合わせる。	We would like to ___ about the availability of this product.	この製品の提供状況についてお伺いしたく存じます。	inquire	ファイルを送ってほしい場合と、提供時期を知りたい場合で使い分ける語は何か。	ファイルの依頼にはrequest、情報の問い合わせにはinquire aboutが使える。askもどちらの場面にも構文を合わせて使える。	社外メール
answer	answer	答える	中学	answer / respond	respond	応答する	answer a questionだがrespond to a questionとなる。respondは質問への回答に限らず、依頼や状況への反応も指す。	金曜日までに依頼へ回答すると伝える。	We will ___ to your request by Friday.	金曜日までにご依頼に回答いたします。	respond	respond your questionと書いてよいか。	通常はrespond to your questionとする。answer your questionならtoは不要。	社外メール
help	help	助ける	中学	help / assist	assist	支援する・やや正式	helpは親しみがあり社外メールにも自然。assistはやや正式。assist someone with somethingの形が使いやすい。	インストールを支援できると正式に伝える。	We can ___ you with the installation.	インストールを支援いたします。	assist|help	assistのほうが常にhelpより丁寧か。	常にそうではない。assistはやや正式だが、丁寧さは文全体で決まる。We are happy to help. も自然な社外表現である。	社外メール
need	need	必要とする	中学	need / require	require	要件として必要	requireは要件や必須条件を述べるのに適する。needは一般的な必要性。requireは相手への要求が強く聞こえる場合もある。	システム要件としてメモリ容量を示す。	The application ___ at least 8 GB of RAM.	このアプリケーションには少なくとも8GBのRAMが必要です。	requires	相手に資料を求めるとき、requireに替えるだけで丁寧になるか。	ならない。requireは強い要求にもなる。Could you provide ...? のように文全体を整える。	技術説明
want	want	欲しい・望む	中学	would like	wish（望む）	希望を丁寧に述べる	would likeはwantより控えめな希望の表現。wish toはやや正式だが、wishのすべての用法がwantと同じではない。	会議の日程を調整したいと伝える。	We ___ to schedule a meeting.	会議の日程を調整したく存じます。	would like	We want a meeting. を丁寧な希望にするにはどう書けるか。	We would like to schedule a meeting. などとする。難しい単語ではなく、希望の伝え方を調整している。	社外メール
get	get	得る・受け取る	中学	receive / obtain	obtain	受領と取得を区別	receiveは受け取る、obtainは入手する。getには到着する・状態になるなど多くの意味があるので一括置換はできない。	必要な承認を取得することを説明する。	You must ___ approval before proceeding.	作業を進める前に承認を得る必要があります。	obtain	get tiredのgetをobtainに替えられるか。	できない。get tiredは疲れた状態になるという意味。obtainは何かを入手する場合に使う。	社外メール
give	give	与える	中学	provide	provide	必要な情報などを提供	provideは情報・サービスなどの提供に使う。provide someone with something、provide something to someoneの形がある。	ログの提供を丁寧に依頼する。	Could you ___ us with the log files?	ログファイルをご提供いただけますでしょうか。	provide	provide us the logsとprovide us with the logsでは、どちらを基本として覚えるか。	provide us with the logsを基本にする。provide the logs to usとも書ける。	社外メール
tell	tell	伝える	中学	let someone know / inform	inform	通知する・正式	informは情報を知らせる。inform someone of/about somethingの形。let us knowは社外メールでも自然。	状況の変化を通知すると伝える。	We will ___ you of any changes.	変更があればお知らせいたします。	inform	inform to youという形は適切か。	通常はinform youとする。通知する内容はofやaboutで続ける。We will let you know. も自然。	社外メール
send	send	送る	中学	send / forward（転送）	transmit（伝送）	通常送信・転送・伝送	sendはメールにも自然。forwardは受け取ったものを転送する。transmitは信号やデータの伝送など技術的な文脈で使う。	受領したメッセージを担当者へ転送する。	Please ___ this message to the support team.	このメッセージをサポートチームへ転送してください。	forward	新しく作成したメールを送るsendは、常にforwardにできるか。	できない。forwardは通常、既にあるメッセージなどを別の相手へ転送する意味である。	社外メール
start	start	始める	中学	start / begin	commence	開始する・正式	commenceは正式な案内や文書で使えるが、通常のメールではstartやbeginで十分。エンジンを始動するstartとは単純置換しない。	正式な案内で、式典の開始時刻を告知する。	The ceremony will ___ at 10 a.m.	式典は午前10時に開始します。	commence	Please start the application. のstartをcommenceに替えるべきか。	通常は替えない。アプリの起動にはstartやlaunchが自然。commenceは催しや作業などの開始を正式に述べる場合に使う。	表現・読解
end	end	終える	中学	end / conclude	conclude	締めくくる	concludeは会議・交渉・説明などを締めくくる場合に使う。結論を出すという別の意味もある。	会議を要点の確認で締めくくる。	Let us ___ the meeting with a summary.	要点をまとめて会議を締めくくりましょう。	conclude	conclude that ... のconcludeも、単に終えるという意味か。	この形では～という結論に達するという意味になる。目的語や構文により意味を判断する。	社外メール
stop	stop	止める	中学	stop / discontinue（終了する）	cease	停止と提供終了	ceaseは活動をやめるという硬い語。discontinueはサービスや製品の提供を終了する場合に使う。どちらも一時停止とは限らない。	製品のサポート提供終了を案内する。	We will ___ support for this version in December.	12月にこのバージョンのサポートを終了します。	discontinue	一時的にサーバーを止める場合もdiscontinueを使うか。	通常はstopやtemporarily suspendを使う。discontinueは提供や運用を終了する意図を伝えやすい。	社外メール
keep	keep	保つ・保持する	中学	keep / retain / maintain	retain	保持する	retainは情報・記録・権利などを保持する。maintainは状態や水準を維持する。keep doingのkeepはそのままretainにはできない。	記録の保存期間を説明する。	We ___ these records for one year.	これらの記録は1年間保持します。	retain|keep	keep tryingをretain tryingに替えられるか。	替えられない。keep tryingは試み続けるという構文。retainは何かを保持する意味で用いる。	技術説明
let	let	～させる・許す	中学	allow / permit	permit	許可する	let someone doに対しallow/permit someone to do。permitは規則上の許可などでやや正式に使う。	管理者がアクセスを許可する仕組みを述べる。	The administrator can ___ users to access this folder.	管理者はユーザーにこのフォルダーへのアクセスを許可できます。	allow|permit	let users accessをallowに替えるとき、何を加えるか。	allow users to accessとし、toを加える。letとallowでは後に続く不定詞の形が違う。	技術説明
make	make	作る	中学	make / create	create	作成する	createは新しい文書・アカウントなどを作成する際に自然。make a mistakeのmakeはcreateに置換しない。	新しいアカウントの作成を案内する。	Please ___ a new account.	新しいアカウントを作成してください。	create	make a mistakeをcreate a mistakeに替えれば正式になるか。	ならない。make a mistakeは一般的な語の組み合わせであり、createに置き換えると不自然になる。	技術説明
do	do	する	中学	perform / carry out	perform	具体的な作業を実行	performは作業・検査・処理などを実行する場合に使う。doのすべての意味を置換できるわけではない。	インストール前の確認作業を実施する。	Please ___ the following checks before installation.	インストール前に以下の確認を実施してください。	perform|carry out	do my bestをperform my bestに替えてよいか。	通常は替えない。do one's bestという表現を使う。performは作業や演技など具体的な対象に適する。	技術説明
try	try	試みる	中学	try / attempt	attempt	試みる・やや正式	attemptは達成しようとする試み。try to doは努力する、try doingは試しに行うという違いがある。	接続を試みたが成功しなかったと報告する。	We ___ to connect to the server, but the connection failed.	サーバーへの接続を試みましたが、接続に失敗しました。	attempted|tried	try restartingとtry to restartは同じ意味か。	try restartingは再起動を対処として試す。try to restartは再起動しようと試みるという焦点になる。	技術説明
check	check	確認する	中学	check / verify / confirm	verify	正しさを検証	verifyは事実や正しさを確かめる。confirmは確定・再確認する。checkは確認全般で自然に使える。	設定値の正しさを検証するよう依頼する。	Please ___ that the settings are correct.	設定が正しいことをご確認ください。	verify|confirm|check	ログを一通り見る場合と、値の正しさを裏付ける場合でcheckとverifyをどう使うか。	一通りの確認にはcheck、正しさの検証にはverifyが適する。verifyのほうが常に丁寧というわけではない。	技術説明
find	find	見つける	中学	find / identify / locate	identify	特定する	identifyは原因や対象を特定する。locateは場所を見つける。findは発見や判断など幅広い意味がある。	不具合の根本原因を特定する。	We have ___ the cause of the issue.	本件の原因を特定しました。	identified	find the fileとidentify the causeで、何に焦点があるか。	前者はファイルを見つけること、後者は原因が何かを特定することに焦点がある。	技術説明
know	know	知っている	中学	know / be aware of	-	知識と認識	be aware ofは存在や状況を認識している。know a personのように人と面識がある意味をそのまま置換できない。	報告された制限を認識していると伝える。	We are ___ this limitation.	この制限については認識しております。	aware of	I know her. をI am aware of her. に替えると同じ意味か。	同じではない。know herは面識があるなどを表す。aware of herは存在を認識していることに焦点がある。	社外メール
understand	understand	理解する	中学	understand	comprehend	理解する・やや文語的	comprehendは複雑な内容や全体を理解するという硬めの表現。顧客への共感や事情の理解にはunderstandが自然。	取引先の懸念を理解していると伝える。	We ___ your concerns.	ご懸念は理解しております。	understand	顧客へのWe understand your concerns. はcomprehendに替えるべきか。	通常は替える必要がない。understandは自然であり、comprehendにすると知的に把握するという硬い語調になり得る。	社外メール
explain	explain	説明する	中学	explain / clarify	elucidate	明確化・詳解	clarifyは不明瞭な点を明確にする。elucidateは難しい内容を解き明かすという非常に硬い語。普通の案内はexplainで自然。	要件の不明点を明確にしてもらう。	Could you ___ this requirement?	この要件について、より明確にしていただけますでしょうか。	clarify	単に手順を説明する場合と、曖昧な要件を明確にする場合で使い分ける語は何か。	手順の説明にはexplain、曖昧さを解消する場合はclarifyが適する。elucidateは通常の顧客メールでは硬すぎることが多い。	社外メール
change	change	変える	中学	change / modify	modify	一部を変更する	modifyは部分的な調整や変更に適する。change clothesのように別のものへ替える意味には使えない場合がある。	設定の一部を変更する。	Please ___ the configuration as follows.	設定を以下のとおり変更してください。	modify|change	change trainsをmodify trainsに替えられるか。	できない。change trainsは電車を乗り換えること。modifyは対象の性質や内容を変更する場合に使う。	技術説明
choose	choose	選ぶ	中学	choose / select	select	選択肢から選ぶ	selectは画面上の項目や用意された候補から選ぶ際に使いやすい。chooseも自然で、意思決定を広く表す。	一覧から対象ユーザーを選択する。	___ the user from the list.	一覧から対象のユーザーを選択してください。	Select|Choose	I choose to stay. のchooseをselectにそのまま替えられるか。	通常は替えない。selectは候補となる対象を選ぶ場合に適する。choose to doは～することに決めるという形。	技術説明
decide	decide	決める	中学	decide / determine	determine	決定・特定する	determineは調査で特定する、基準に基づいて決定するなどの意味を持つ。decideより常に断定的・正式という単純な関係ではない。	判断に先立って、原因を調査で特定する。	We need to ___ why the process failed.	処理が失敗した理由を特定する必要があります。	determine	decideとdetermineはどこが違うか。	decideは選択や決心に焦点がある。determineは調査で答えを特定する場合にも使われる。	技術説明
plan	plan	計画・予定	中学	plan / intend to	intend to	意図・予定を表す	intend toは～するつもりという意図。予定が確定していることを必ずしも保証しない。planは具体的な計画も表す。	翌月に機能を公開する意向を伝える。	We ___ release the feature next month.	来月、その機能を公開する予定です。	intend to|plan to	intend to releaseとwill definitely releaseは同じ確実性か。	同じではない。intend toは意向や予定であり、必ず実施すると保証する表現ではない。	社外メール
meet	meet	会う・満たす	中学	meet	convene（会議を開く）	会合を招集する	conveneは会議を招集する、または会議が開かれるという正式な語。meet a requirementのmeetは満たすという別の意味。	委員会を招集して提案を検討する。	We will ___ a committee to review the proposal.	提案を検討する委員会を招集します。	convene	meet the requirementsのmeetをconveneに替えられるか。	できない。meet the requirementsは要件を満たすという意味。conveneは会議や集まりに関する語。	社外メール
call	call	電話する・呼ぶ	中学	call / contact	-	連絡方法の範囲	contactは電話に限らない連絡全般。callは電話するほか、名付けるなどの意味もある。contactにtoは不要。	連絡方法を限定せず問い合わせを促す。	Please ___ us if you have any questions.	ご質問があればお問い合わせください。	contact	Please contact to us. は適切か。	通常はtoを除いてPlease contact us. とする。contactは直接、人や組織を目的語に取る。	社外メール
say	say	言う	中学	say / state	state	明確に述べる	stateは事実・立場・条件を明確に述べるやや正式な語。say helloのような挨拶には置換できない。	手順書に要件が明記されていることを述べる。	The manual ___ that a restart is required.	手順書には再起動が必要と記載されています。	states	say helloをstate helloに替えれば正式になるか。	ならない。挨拶にはsay helloを使う。stateは情報や見解を明確に述べるときに使う。	技術説明
write	write	書く	中学	write / draft（草案を作る）	compose	文章を構成する	composeは文章・音楽を組み立てて作る。draftは草案を作る。単語を書き留めるwriteを常にcomposeにできるわけではない。	提案書の草案を作成する。	I will ___ a proposal for your review.	ご確認いただくための提案書の草案を作成します。	draft	draft a proposalとwrite a proposalでは何が異なるか。	draftは未確定の草案を作ることを明示する。writeは書くこと全般で、完成度を指定しない。	社外メール
read	read	読む	中学	read / review（確認する）	peruse	注意して読む・文語的	peruseはよく読むという意味だが、軽く目を通す意味で使われることもあるため業務指示には曖昧さが残る。reviewは確認・検討の目的を示す。	添付資料の内容を確認してもらう。	Please ___ the attached document.	添付資料をご確認ください。	review|read	peruseを使えば必ず丁寧に精読してもらえると考えてよいか。	そうは言えない。用法に幅があり、業務ではreview carefullyなど、求める確認の仕方を具体的に示すほうが明確。	社外メール
look	look	見る	中学	look at / examine	examine	詳しく調べる	examineは注意深く調べる。look atは見ること全般。look happyは幸せそうに見えるという別の構文。	ログを詳しく調べる。	We will ___ the logs in detail.	ログを詳しく確認いたします。	examine	look at the logsのlook atをexamineに替える場合、atは残すか。	通常は残さない。examine the logsとする。examineは対象を直接目的語に取る。	技術説明
see	see	見る・分かる	中学	see / observe	observe	観察する	observeは現象や変化を注意して観察する。規則を守るという別の意味もある。I see. のseeは分かったという意味。	更新後に動作の変化を観察する。	We will ___ the system behavior after the update.	更新後のシステムの動作を観察します。	observe	理解を示すI see. をI observe. に替えられるか。	通常は替えられない。observeは観察や規則の順守などの意味で、I see. の応答とは違う。	技術説明
hear	hear	聞こえる・聞く	中学	hear / learn（知る）	-	聴覚と情報の取得	hearは音が聞こえることや知らせを聞くこと。learnは情報を知る意味でも使う。丁寧さだけで機械的に置換しない。	問題が解消したと知り、安心したことを伝える。	We are pleased to ___ that the issue has been resolved.	問題が解消したとのことで、何よりです。	hear|learn	hearとlistenはどう違うか。	hearは音が聞こえることや知らせを聞くこと。listenは注意を向けて聞く行為に焦点があり、listen toという形がある。	社外メール
listen	listen	耳を傾ける	中学	listen to	-	意識して聞く	listen toは注意して聞く行為。正式なメールでもそのまま使える。複雑な単語に置き換える必要はない。	顧客の意見に耳を傾ける姿勢を述べる。	We ___ our customers' feedback.	私たちはお客様のご意見に耳を傾けます。	listen to	listen customers' feedbackでは何が不足するか。	通常はtoが必要で、listen to our customers' feedbackとする。hearとは文法も焦点も異なる。	社外メール
work	work	働く・動作する	中学	work / operate / function	function	機能・動作する	functionは機能する、operateは機械や仕組みが作動することを表す。work at a companyのworkをそのまま置換しない。	装置が正常に機能していると報告する。	The device is ___ normally.	装置は正常に動作しています。	functioning|operating|working	人が会社で働くworkと、装置が機能するfunctionは交換可能か。	同じではない。functionは装置や仕組みなどが機能する場合に使う。就労にはworkを使う。	技術説明
happen	happen	起こる	中学	happen / occur	occur	事象の発生・やや正式	occurは報告書や障害説明で自然。自動詞なので、An error was occurred. とはしない。	バックアップ中にエラーが発生したと報告する。	An error ___ during the backup.	バックアップ中にエラーが発生しました。	occurred	An error was occurred. はなぜ不適切か。	occurはこの意味では自動詞なので受動態にしない。An error occurred. とする。	技術説明
fix	fix	直す	中学	fix / resolve / repair	resolve	問題を解決する	resolveは問題や対立を解決する。repairは物の損傷を修理する。fixは幅広いが、場面によって語を選ぶ。	問題が解消したことを報告する。	The issue has been ___.	その問題は解消しました。	resolved|fixed	壊れたキーボードをresolveしたと書けるか。	通常はrepairやfixを使う。resolveは問題・対立・疑問などを解決する場合に適する。	技術説明
build	build	作る・建てる	中学	build / construct	construct	組み立てる・構築する	constructは部品や要素を組み立てて構築するというやや正式な語。buildには体力や関係を築くなどの用法もある。	データからモデルを構築する。	We will ___ a model using the collected data.	収集したデータを用いてモデルを構築します。	construct|build	build confidenceのbuildを常にconstructに替えられるか。	通常は替えない。build confidenceは自信や信頼を育てる自然な組み合わせ。constructは構造物やモデルの構築に適する。	技術説明
develop	develop	開発する・発展する	高校	develop	formulate（策定する）	方針や案を練り上げる	formulateは計画・方針・理論などを明確な形にまとめる。ソフトウェアの開発全体はdevelopが自然。	今後の対応方針を策定する。	We will ___ a plan to address the issue.	その問題に対応する計画を策定します。	formulate	ソフトウェア開発のdevelopをすべてformulateにできるか。	できない。formulateは計画や理論を練って表現する場合に使う。ソフトウェアの開発にはdevelopが自然。	社外メール
add	add	加える	中学	add / include	incorporate	全体に組み込む	incorporateは要素を全体の一部として組み込む。単なる追記や足し算のaddとは使い方が異なる。	意見を計画に組み込む。	We will ___ your feedback into the plan.	ご意見を計画に反映します。	incorporate	addとincorporateはどのように違うか。	addは加えること全般。incorporateは既存の全体に統合・組み込むことを表し、incorporate A into Bの形が使える。	社外メール
remove	remove	取り除く	中学	remove / delete / eliminate	eliminate	除去する	deleteは記録や文字などを削除する。eliminateは原因や危険などを取り除く。removeは広い除去に使える。	重複したレコードを削除する。	Please ___ the duplicate records.	重複したレコードを削除してください。	delete|remove	ファイルの削除と危険の除去ではどの語が自然か。	ファイルにはdelete、危険にはeliminateやremoveが使いやすい。意味の対象に合わせて選ぶ。	技術説明
cut	cut	切る・減らす	中学	reduce	reduce	量を減らす	reduceは量・数・程度を減らす際に自然。物を刃物で切るcutの意味は引き継がない。	メモリ使用量を削減する。	This change will ___ memory usage.	この変更によりメモリ使用量を削減します。	reduce	cut the cableをreduce the cableに替えてよいか。	よくない。cut the cableはケーブルを切ること。reduceは量や程度を小さくする場合に使う。	技術説明
grow	grow	成長する・増える	中学	grow / increase	-	増加と成長	increaseは量・数の増加。growは人・植物の成長や規模の拡大などを指す。どちらも他動詞と自動詞の用法がある。	利用者数の増加を報告する。	The number of users has ___.	利用者数が増加しました。	increased|grown	grow vegetablesのgrowをincreaseに替えられるか。	通常は替えられない。grow vegetablesは野菜を育てる意味。increaseは数や量を増やすことを表す。	技術説明
fall	fall	落ちる・下がる	中学	fall / decrease / decline	decline	数値や水準の低下	declineは数量や水準の低下を表すほか、申し出を断る意味もある。物理的に転ぶfallとは置換できない。	売上高が徐々に減少していると述べる。	Sales have ___ gradually.	売上高は徐々に減少しています。	declined|decreased|fallen	decline an invitationのdeclineも下がるという意味か。	この形では招待を断るという意味である。目的語の有無と対象を見て判断する。	社外メール
rise	rise	上がる	中学	rise / increase	escalate（深刻化する）	増加と深刻化	escalateは規模や深刻さが増すことを表す。単なる上昇に必ず使う語ではない。riseは自動詞、raiseは他動詞。	需要の増加を中立的に報告する。	Demand is expected to ___.	需要は増加すると見込まれています。	increase|rise	The price raised. とThe price rose. では、価格が上がったという意味でどちらが適切か。	The price rose. が適切。raiseを使うならThe company raised the price. のように上げる主体が必要。	社外メール
